Cast Vote Record,Precinct,Ballot Style,Presidential Electors (215),U.S. Senator (220),U.S. Representative in Congress Dist. 3 Dist 3 (225),U.S. Representative in Congress Dist. 4 Dist 4 (230),State Senator Dist. 4 (235),State Senator Dist. 13 (240),State Representative Dist 4 (245),,State Representative Dist 13 (252),,Corporation Commissioner (259),,,Board of Supervisors Dist 1 (268),Board of Supervisors Dist 2 (273),Board of Supervisors Dist 3 (278),Board of Supervisors Dist 4 (283),Board of Supervisors Dist 5 (288),County Assessor (293),County Attorney (298),County Recorder (303),County School Superintendent (308),County Sheriff (313),County Treasurer (318),Constable Prec. 3 (323),Retain Justice BRUTINEL (331),Retain Justice GOULD (338),Retain Justice LOPEZ IV (345),Retain Judge CAMPBELL (352),Retain Judge CRUZ (359),Judge of the Superior Court Div. 1 (366),Judge of the Superior Court Div. 2 (371),Judge of the Superior Court Div. 4 (376),Judge of the Superior Court Div. 6 (381),Board Member Gadsden ESD 32 (386),,Board Member Hospital Dist Brd 1 (393),,PROPOSITION 207 (403),PROPOSITION 208 (410),PROPOSITION 414 (417),PROPOSITION 415 (424),PROPOSITION 412 (431),PROPOSITION 413 (438),QUESTION 1 (445)
158,PRECINCT 024,PRECINCT 024,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,undervote,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP SLOAN, ERIC (CND020)",undervote,undervote,,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),NO (NO / NO),,,,,
159,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HIRTH, LOUIS (CND048)",NO (NO / NO),YES (YES / SÍ),,,,,
160,PRECINCT 012,"PRECINCT 012 12.03, 12.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)",undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,"HAWS, DAVID (CND041)",undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
161,PRECINCT 040,PRECINCT 040,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)","DEM PETEN, GERALDINE ""GERAE""",,,"REP O'CONNOR, JAMES ""JIM"" (CND019)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
162,PRECINCT 025,PRECINCT 025,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,,,
163,PRECINCT 042,PRECINCT 042 42.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","REP WOOD, DANIEL (CND006)",,,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)",undervote,,NO (NO / NO),YES (YES / SÍ),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)",undervote,undervote,,,"URIBE, CONNIE (CND051)",undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
164,PRECINCT 034,PRECINCT 034,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,,undervote,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,"HUTSELL, MARK (CND049)","JAUREGUI, MARIO (CND050)",NO (NO / NO),NO (NO / NO),,,,,
165,PRECINCT 015,PRECINCT 015,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)",undervote,,,"CANNELL, ROBERT (CND046)",undervote,YES (YES / SÍ),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
166,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","URIBE, CONNIE (CND051)",NO (NO / NO),YES (YES / SÍ),,,,,
167,PRECINCT 010,"PRECINCT 010 10.01, 10.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HIRTH, LOUIS (CND048)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
168,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),undervote,,undervote,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,undervote,undervote,undervote,,,undervote,,,undervote,undervote,undervote,undervote,"REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),undervote,,,,,
169,PRECINCT 040,PRECINCT 040,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
170,PRECINCT 037,PRECINCT 037 37.02,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)","DEM FERNANDEZ, CHARLENE (CND014)",,,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","URIBE, CONNIE (CND051)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
171,PRECINCT 040,PRECINCT 040,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
172,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","REP O'CONNOR, JAMES ""JIM"" (CND019)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)",undervote,"HAWS, DAVID (CND041)",undervote,,,"CANNELL, ROBERT (CND046)",undervote,YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
173,PRECINCT 041,PRECINCT 041,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
174,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CLARIDGE, JEREMY (CND047)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
175,PRECINCT 011,"PRECINCT 011 11.02, 11.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,"HAWS, DAVID (CND041)",undervote,,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
176,PRECINCT 037,PRECINCT 037 37.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HUTSELL, MARK (CND049)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
177,PRECINCT 037,PRECINCT 037 37.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HUTSELL, MARK (CND049)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
178,PRECINCT 012,"PRECINCT 012 12.03, 12.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)",undervote,undervote,undervote,,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,YES (YES / SÍ),undervote,undervote,undervote,"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CLARIDGE, JEREMY (CND047)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
179,PRECINCT 012,"PRECINCT 012 12.03, 12.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)",undervote,undervote,undervote,,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,YES (YES / SÍ),undervote,undervote,undervote,"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CLARIDGE, JEREMY (CND047)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
180,PRECINCT 012,"PRECINCT 012 12.03, 12.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)",undervote,"HAWS, DAVID (CND041)",undervote,,,"CANNELL, ROBERT (CND046)",undervote,YES (YES / SÍ),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
181,PRECINCT 012,"PRECINCT 012 12.03, 12.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)",undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)",undervote,"HAWS, DAVID (CND041)",undervote,,,"CANNELL, ROBERT (CND046)",undervote,YES (YES / SÍ),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
182,PRECINCT 033,"PRECINCT 033 33.01, 33.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"REP MARQUEZ PETERSON, LEA (CND018)","DEM TOVAR, ANNA (CND023)","DEM STANFIELD, SHEA (CND022)",,,,"DEM REYES, MARCO A. (TONY) (CND027)",,undervote,"DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)",undervote,,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),YES (YES / SÍ),,,,,
183,PRECINCT 033,"PRECINCT 033 33.01, 33.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),YES (YES / SÍ),,,,,
